nces_id	state	school_name	website	normalized_url	probe_method	status_code	redirect_target	error_type	error_message	response_headers_json	checked_at
062553003839	CA	Monterey High	montereyhigh.mpusd.k12.ca.us/	https://montereyhigh.mpusd.k12.ca.us/	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'montereyhigh.mpusd.k12.ca.us'. (_ssl.c:1016)		2026-03-19T19:53:17.906252+00:00
062553003843	CA	Seaside High	seasidehigh.mpusd.k12.ca.us/	https://seasidehigh.mpusd.k12.ca.us/	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'seasidehigh.mpusd.k12.ca.us'. (_ssl.c:1016)		2026-03-19T19:53:17.896324+00:00
062553011697	CA	Marina High	marinahigh.mpusd.k12.ca.us/	https://marinahigh.mpusd.k12.ca.us/	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'marinahigh.mpusd.k12.ca.us'. (_ssl.c:1016)		2026-03-19T19:53:18.011123+00:00
062637009946	CA	Horizons School: Independent Study	hcis-mdusd-ca.schoolloop.com/	https://hcis-mdusd-ca.schoolloop.com/	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'hcis-mdusd-ca.schoolloop.com'. (_ssl.c:1016)		2026-03-19T19:53:23.717347+00:00
062688008918	CA	Bear River High	www.nuhsd.org/schools/brhs	https://www.nuhsd.org/schools/brhs	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.nuhsd.org'. (_ssl.c:1016)		2026-03-19T19:53:26.794394+00:00
062691011551	CA	Core Learning Academy at Conley-Caraballo High	www.nhusd.k12.ca.us	https://www.nhusd.k12.ca.us	HEAD			ConnectError			2026-03-19T19:53:30.505829+00:00
062871012315	CA	Orcutt Academy Charter	www.orcutt-schools.net	https://www.orcutt-schools.net	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)		2026-03-19T19:53:48.980504+00:00
062949007436	CA	New School Community Day	new-pajaro-ca.schoolloop.com	https://new-pajaro-ca.schoolloop.com	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'new-pajaro-ca.schoolloop.com'. (_ssl.c:1016)		2026-03-19T19:54:19.816692+00:00
062955013149	CA	Rancho Mirage High	www.ranchomiragehighschool.org	https://www.ranchomiragehighschool.org	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.ranchomiragehighschool.org'. (_ssl.c:1016)		2026-03-19T19:54:20.255033+00:00
062982008451	CA	Honey Run Academy Secondary	www.honeyrun.pusdk12.org/	https://www.honeyrun.pusdk12.org/	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.honeyrun.pusdk12.org'. (_ssl.c:1016)		2026-03-19T19:54:22.561894+00:00
063513005957	CA	San Ramon Valley High	srvhs.schoolloop.com	https://srvhs.schoolloop.com	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'srvhs.schoolloop.com'. (_ssl.c:1016)		2026-03-19T19:56:47.576628+00:00
063513008976	CA	Venture (Alternative)	www.venture.srvusd.net	https://www.venture.srvusd.net	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.venture.srvusd.net'. (_ssl.c:1016)		2026-03-19T19:56:47.802397+00:00
063560006664	CA	Delta Charter	www.deltaschool.org	https://www.deltaschool.org	HEAD			ConnectError	[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1016)		2026-03-19T19:56:51.126456+00:00
